"Model","Mice.ID","Treatment","Tumor.Volume","Date"
"LS-1034",33,"Irinotecan + Rabusertib",161.101,28
"LS-1034",33,"Irinotecan + Rabusertib",138.71,33
"LS-1034",34,"Irinotecan + Rabusertib",331.856,0
"LS-1034",34,"Irinotecan + Rabusertib",991.775,3
"LS-1034",34,"Irinotecan + Rabusertib",501.381,10
"LS-1034",34,"Irinotecan + Rabusertib",89.539,17
"LS-1034",34,"Irinotecan + Rabusertib",197.142,21
"LS-1034",34,"Irinotecan + Rabusertib",292.224,28
"LS-1034",34,"Irinotecan + Rabusertib",173.083,33
"LS-1034",35,"Irinotecan + Rabusertib",438.5,0
"LS-1034",35,"Irinotecan + Rabusertib",504.745,3
"LS-1034",35,"Irinotecan + Rabusertib",816.803,10
"LS-1034",35,"Irinotecan + Rabusertib",60.367,17
"LS-1034",35,"Irinotecan + Rabusertib",78.923,21
"LS-1034",35,"Irinotecan + Rabusertib",103.523,28
"LS-1034",35,"Irinotecan + Rabusertib",57.23,33
"LS-1034",36,"Irinotecan + Rabusertib",238.101,0
"LS-1034",36,"Irinotecan + Rabusertib",502.565,3
"LS-1034",36,"Irinotecan + Rabusertib",210.742,10
"LS-1034",36,"Irinotecan + Rabusertib",67.208,17
"LS-1034",36,"Irinotecan + Rabusertib",123.876,21
"LS-1034",36,"Irinotecan + Rabusertib",91.827,28
"LS-1034",36,"Irinotecan + Rabusertib",186.48,33
"LS-1034",37,"Irinotecan + Rabusertib",109.679,0
"LS-1034",37,"Irinotecan + Rabusertib",159.692,3
"LS-1034",37,"Irinotecan + Rabusertib",171.969,10
"LS-1034",37,"Irinotecan + Rabusertib",4.866,17
"LS-1034",37,"Irinotecan + Rabusertib",37.174,21
"LS-1034",37,"Irinotecan + Rabusertib",33.004,28
"LS-1034",37,"Irinotecan + Rabusertib",38.234,33
"LS-1034",38,"Irinotecan + Rabusertib",530.502,0
"LS-1034",38,"Irinotecan + Rabusertib",647.76,3
"LS-1034",38,"Irinotecan + Rabusertib",1002.862,10
"LS-1034",38,"Irinotecan + Rabusertib",344.766,17
"LS-1034",38,"Irinotecan + Rabusertib",199.425,21
"LS-1034",38,"Irinotecan + Rabusertib",135.911,28
"LS-1034",38,"Irinotecan + Rabusertib",88.079,33
"LS-1034",39,"Irinotecan + Rabusertib",365.396,0
"LS-1034",39,"Irinotecan + Rabusertib",566.066,3
"LS-1034",39,"Irinotecan + Rabusertib",649.738,10
"LS-1034",39,"Irinotecan + Rabusertib",261.242,17
"LS-1034",39,"Irinotecan + Rabusertib",239.969,21
"LS-1034",39,"Irinotecan + Rabusertib",106.336,28
"LS-1034",39,"Irinotecan + Rabusertib",158.515,33
"LS-1034",40,"Irinotecan + Rabusertib",185.375,0
"LS-1034",40,"Irinotecan + Rabusertib",327.529,3
"LS-1034",40,"Irinotecan + Rabusertib",137.68,10
"LS-1034",40,"Irinotecan + Rabusertib",0.904,17
"LS-1034",40,"Irinotecan + Rabusertib",53.158,21
"LS-1034",40,"Irinotecan + Rabusertib",44.119,28
"LS-1034",40,"Irinotecan + Rabusertib",52.27,33
"LS-1034",41,"Irinotecan + Rabusertib",501.355,0
"LS-1034",41,"Irinotecan + Rabusertib",583.731,3
"LS-1034",41,"Irinotecan + Rabusertib",491.308,10
"LS-1034",41,"Irinotecan + Rabusertib",50.626,17
"LS-1034",41,"Irinotecan + Rabusertib",137.687,21
"LS-1034",41,"Irinotecan + Rabusertib",238.066,28
"LS-1034",41,"Irinotecan + Rabusertib",224.445,33
